"id","category","name","price","salePrice","sale","url"
"16","Consoles","ADAPTER DO KINECT 2.0. Xbox one S / X / Windows PC","129,90 zł z kurierem","229,90 zł","-43%","https://allegro.pl/oferta/adapter-do-kinect-2-0-xbox-one-s-x-windows-pc-10080496853"
"17","Consoles","PRZENOŚNA KONSOLA DO GIER X12 GAME BOY 5cal jęz PL","189,90 zł z kurierem","279,90 zł","-32%","https://allegro.pl/oferta/przenosna-konsola-do-gier-x12-game-boy-5cal-jez-pl-10005673444"
"18","Consoles","STACJA DOKUJĄCA PS4 ŁADOWARKA 2 PADY KONTROLER PAD","56,00 zł z kurierem","89,90 zł","-37%","https://allegro.pl/oferta/stacja-dokujaca-ps4-ladowarka-2-pady-kontroler-pad-9929894454"
"19","Consoles","Ładowarka stacja dokująca 2x PAD kontroler PS4 LED","40,00 zł z kurierem","69,00 zł","-42%","https://allegro.pl/oferta/ladowarka-stacja-dokujaca-2x-pad-kontroler-ps4-led-9924174440"
"20","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","259,00 zł","379,00 zł","-31%","https://allegro.pl/events/clicks?emission_unit_id=454b6682-097c-4b1d-931c-262303475c90&emission_id=8e69a233-d29d-4702-8acd-9053d2a9c1e3&type=OFFER&ts=1616081353071&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkonsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10498869151%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DOGE3ODRlMGUtYmZhYy00YTBjLWEwY2MtZjRiYmNhNWZjZjg1AA%26bi_t%3Dape&placement=listing:desktop:category&sig=14952e8d0e639ee93ac00b0d08ee2a43"
"21","Consoles","ELEKTRONICZNA GRA TETRIS WĘŻYK I INNE KIESZONKOWA","21,99 zł z kurierem","25,00 zł","-12%","https://allegro.pl/oferta/elektroniczna-gra-tetris-wezyk-i-inne-kieszonkowa-8520744251"
"22","Consoles","SUP GAME KONSOLA PRZENOŚNA GAME BOY 400 GIER","41,79 zł","65,00 zł","-35%","https://allegro.pl/oferta/sup-game-konsola-przenosna-game-boy-400-gier-10504141562"
"23","Consoles","KONSOLA przenośna RETRO RONEBERG RX9 20000 GIER","199,00 zł","399,00 zł","-50%","https://allegro.pl/oferta/konsola-przenosna-retro-roneberg-rx9-20000-gier-9991184661"
"24","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","269,99 zł","349,99 zł","-22%","https://allegro.pl/oferta/konsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10504372522"
"25","Consoles","PRZENOŚNA KONSOLA DO GIER X12 GAME BOY 5cal jęz PL","189,90 zł z kurierem","279,90 zł","-32%","https://allegro.pl/oferta/przenosna-konsola-do-gier-x12-game-boy-5cal-jez-pl-10005663886"
